Order #,Opened,# of Guests,Server,Discount Amount,Amount,Tax,Tip
80,1/1/26 4:41 PM,1,Default Online Ordering,0.00,126.50,10.44,0.00
79,1/1/26 4:40 PM,1,Default Online Ordering,0.00,87.00,7.17,0.00
77,1/1/26 4:36 PM,3,John Mann,0.00,31.50,2.60,6.30
78,1/1/26 4:40 PM,1,Lila Pham,0.00,0.00,0.00,0.00
82,1/1/26 4:42 PM,5,Felix Phan,0.00,84.49,6.96,16.90
81,1/1/26 4:42 PM,2,John Mann,0.00,80.50,6.63,17.71
83,1/1/26 4:44 PM,5,Felix Phan,0.00,91.25,7.52,18.25
84,1/1/26 4:57 PM,5,John Mann,13.00,71.00,5.85,15.00
85,1/1/26 5:03 PM,2,Khang Nguyen,0.00,45.50,3.75,10.01
86,1/1/26 5:16 PM,1,Default Online Ordering,0.00,27.00,2.23,0.00
87,1/1/26 5:22 PM,4,Khang Nguyen,0.00,83.50,6.89,13.00
88,1/1/26 5:25 PM,5,Thomas Cao,0.00,132.50,10.94,33.12
89,1/1/26 5:29 PM,6,Khang Nguyen,0.00,140.50,11.59,28.10
90,1/1/26 5:33 PM,1,Default Online Ordering,0.00,48.50,4.00,0.00
95,1/1/26 5:49 PM,1,Default Online Ordering,0.00,62.50,5.16,0.00
91,1/1/26 5:40 PM,6,Thomas Cao,0.00,182.25,15.04,36.45
93,1/1/26 5:42 PM,2,Thomas Cao,0.00,54.50,4.49,13.62
92,1/1/26 5:41 PM,5,Khang Nguyen,0.00,107.00,8.84,21.40
94,1/1/26 5:44 PM,2,Thomas Cao,0.00,50.00,4.13,10.00
96,1/1/26 5:50 PM,2,Thomas Cao,0.00,101.50,8.37,20.30
97,1/1/26 5:51 PM,4,Khang Nguyen,0.00,134.50,11.09,28.00
98,1/1/26 6:06 PM,2,Khang Nguyen,0.00,66.50,5.48,14.63
99,1/1/26 6:10 PM,1,Default Online Ordering,0.00,58.50,4.83,0.00
100,1/1/26 6:14 PM,2,John Mann,0.00,51.50,4.25,7.00
103,1/1/26 6:27 PM,1,Default Online Ordering,0.00,58.50,4.83,0.00
102,1/1/26 6:18 PM,1,Khang Nguyen,0.00,19.75,1.64,4.34
101,1/1/26 6:18 PM,4,Thomas Cao,0.00,106.99,8.82,21.40
104,1/1/26 6:30 PM,1,Default Online Ordering,0.00,38.00,3.14,0.00
105,1/1/26 6:31 PM,9,Khang Nguyen,0.00,231.99,19.13,46.40
107,1/1/26 6:47 PM,5,Thomas Cao,0.00,135.00,11.14,27.00
108,1/1/26 6:55 PM,3,John Mann,0.00,60.00,4.95,15.00
113,1/1/26 7:18 PM,1,Default Online Ordering,0.00,28.00,2.31,0.00
110,1/1/26 7:03 PM,6,Thomas Cao,0.00,115.98,9.06,23.20
111,1/1/26 7:12 PM,2,John Mann,0.00,83.00,6.84,18.26
112,1/1/26 7:18 PM,1,John Mann,0.00,0.00,0.00,0.00
114,1/1/26 7:19 PM,2,John Mann,0.00,48.00,3.96,5.00
115,1/1/26 7:24 PM,2,John Mann,0.00,29.00,2.39,5.80
116,1/1/26 7:28 PM,2,Thomas Cao,0.00,33.25,2.75,8.31
117,1/1/26 7:37 PM,2,Khang Nguyen,0.00,38.50,3.18,7.70
119,1/1/26 7:44 PM,3,Khang Nguyen,0.00,28.50,2.35,4.00
118,1/1/26 7:43 PM,4,Thomas Cao,0.00,109.00,8.98,27.25
120,1/1/26 7:46 PM,1,Thomas Cao,0.00,22.50,1.85,0.00
122,1/1/26 7:48 PM,2,Khang Nguyen,0.00,54.75,4.52,8.00
123,1/1/26 8:02 PM,2,John Mann,0.00,35.00,2.89,7.00
124,1/1/26 8:06 PM,2,John Mann,0.00,80.50,6.67,16.91
125,1/1/26 8:16 PM,5,John Mann,24.00,101.50,8.39,0.00
126,1/1/26 8:19 PM,1,Khang Nguyen,0.00,43.00,3.54,8.60
127,1/1/26 8:19 PM,2,John Mann,0.00,43.00,3.55,10.75
128,1/1/26 8:22 PM,8,Thomas Cao,0.00,175.47,14.48,35.09
129,1/1/26 8:31 PM,4,Khang Nguyen,13.00,26.00,2.14,7.80
131,1/1/26 8:39 PM,3,Thomas Cao,0.00,94.50,7.79,19.00
132,1/1/26 8:41 PM,1,John Mann,0.00,0.00,0.00,0.00
1,1/2/26 10:24 AM,3,Edwin Tojin,0.00,160.75,13.27,32.16
3,1/2/26 10:44 AM,3,Madelaine Nguyen,0.00,71.25,5.89,15.00
4,1/2/26 11:00 AM,2,Edwin Tojin,0.00,60.50,4.99,12.10
5,1/2/26 11:04 AM,4,Madelaine Nguyen,0.00,153.50,12.66,25.36
6,1/2/26 11:13 AM,4,Edwin Tojin,0.00,28.00,2.31,5.60
7,1/2/26 11:14 AM,2,Khang Nguyen,13.00,26.00,2.15,7.80
8,1/2/26 11:22 AM,2,Khang Nguyen,0.00,53.00,4.36,11.66
12,1/2/26 11:33 AM,1,Default Online Ordering,0.00,52.00,4.29,0.00
9,1/2/26 11:26 AM,2,Khang Nguyen,0.00,40.25,3.33,7.85
11,1/2/26 11:29 AM,4,Edwin Tojin,0.00,107.50,8.86,0.00
13,1/2/26 11:36 AM,2,Madelaine Nguyen,0.00,61.25,5.07,12.24
15,1/2/26 11:44 AM,2,Madelaine Nguyen,0.00,40.50,3.34,8.10
14,1/2/26 11:40 AM,16,Madelaine Nguyen,0.00,206.00,16.99,41.20
16,1/2/26 11:47 AM,3,Madelaine Nguyen,0.00,106.75,8.82,20.00
17,1/2/26 12:00 PM,16,Khang Nguyen,18.50,259.00,21.38,55.00
22,1/2/26 12:08 PM,1,Default Online Ordering,0.00,33.00,1.63,0.00
18,1/2/26 12:03 PM,2,Edwin Tojin,0.00,52.50,4.33,13.12
23,1/2/26 12:14 PM,2,Khang Nguyen,0.00,47.00,3.88,15.00
24,1/2/26 12:16 PM,4,Khang Nguyen,0.00,78.00,6.44,15.60
25,1/2/26 12:28 PM,1,Khang Nguyen,0.00,67.50,5.56,16.88
27,1/2/26 12:36 PM,2,Madelaine Nguyen,0.00,65.50,5.41,13.10
26,1/2/26 12:33 PM,2,Edwin Tojin,0.00,57.50,4.75,11.50
28,1/2/26 12:39 PM,1,Edwin Tojin,0.00,41.00,3.38,8.20
29,1/2/26 12:40 PM,2,Madelaine Nguyen,0.00,50.00,4.11,10.00
30,1/2/26 12:44 PM,2,Edwin Tojin,0.00,140.50,11.61,28.10
35,1/2/26 1:06 PM,1,Default Online Ordering,0.00,68.00,5.61,0.00
31,1/2/26 12:56 PM,2,Edwin Tojin,0.00,46.75,3.87,9.35
34,1/2/26 1:01 PM,1,Default Online Ordering,0.00,55.00,4.54,0.00
32,1/2/26 12:57 PM,4,Madelaine Nguyen,0.00,92.50,7.62,18.50
33,1/2/26 1:00 PM,4,Madelaine Nguyen,0.00,62.50,5.16,12.50
36,1/2/26 1:18 PM,2,Khang Nguyen,0.00,0.00,0.00,0.00
37,1/2/26 1:19 PM,2,Khang Nguyen,0.00,56.00,4.62,11.20
39,1/2/26 1:22 PM,3,Khang Nguyen,0.00,121.50,10.01,24.30
38,1/2/26 1:21 PM,4,Madelaine Nguyen,0.00,88.00,7.26,16.00
40,1/2/26 1:24 PM,4,Khang Nguyen,0.00,81.50,6.71,8.00
41,1/2/26 1:30 PM,3,Edwin Tojin,0.00,104.50,8.62,15.00
45,1/2/26 1:47 PM,1,Default Online Ordering,0.00,34.50,2.85,0.00
42,1/2/26 1:42 PM,2,Madelaine Nguyen,0.00,56.25,4.65,8.00
44,1/2/26 1:46 PM,2,Edwin Tojin,0.00,51.50,4.25,4.00
43,1/2/26 1:46 PM,2,Madelaine Nguyen,0.00,43.50,3.58,10.88
47,1/2/26 1:59 PM,3,Khang Nguyen,0.00,93.00,7.68,18.60
46,1/2/26 1:58 PM,4,Edwin Tojin,0.00,106.00,8.74,21.20
48,1/2/26 2:00 PM,4,Madelaine Nguyen,0.00,89.50,7.39,17.90
49,1/2/26 2:02 PM,5,Madelaine Nguyen,12.00,107.50,8.87,23.90
50,1/2/26 2:05 PM,2,Madelaine Nguyen,0.00,95.00,7.84,11.00
51,1/2/26 2:08 PM,2,Edwin Tojin,0.00,56.00,4.63,12.32
54,1/2/26 2:15 PM,2,Madelaine Nguyen,4.10,36.90,3.03,9.02
55,1/2/26 2:19 PM,2,Khang Nguyen,0.00,21.50,1.77,4.30
56,1/2/26 2:27 PM,1,Khang Nguyen,0.00,43.00,3.54,7.00
57,1/2/26 2:29 PM,2,Edwin Tojin,0.00,67.00,5.53,13.40
58,1/2/26 2:39 PM,2,Edwin Tojin,0.00,56.50,4.66,14.12
59,1/2/26 2:41 PM,2,Madelaine Nguyen,0.00,39.00,3.21,7.80
60,1/2/26 2:45 PM,2,Khang Nguyen,8.60,77.40,6.37,0.00
61,1/2/26 2:47 PM,4,Madelaine Nguyen,0.00,51.50,4.25,8.00
63,1/2/26 2:58 PM,2,Madelaine Nguyen,0.00,83.00,6.85,12.00
62,1/2/26 2:58 PM,3,Khang Nguyen,0.00,69.00,5.69,17.25
64,1/2/26 3:00 PM,4,Khang Nguyen,0.00,120.50,9.94,30.12
65,1/2/26 3:04 PM,1,Khang Nguyen,0.00,100.00,0.00,0.00
66,1/2/26 3:11 PM,5,Edwin Tojin,121.50,0.00,0.00,0.00
67,1/2/26 3:16 PM,4,Edwin Tojin,0.00,89.00,7.34,17.80
69,1/2/26 3:27 PM,1,Default Online Ordering,0.00,60.50,4.99,0.00
68,1/2/26 3:25 PM,2,Khang Nguyen,13.00,40.00,3.30,10.60
70,1/2/26 3:31 PM,3,Khang Nguyen,0.00,51.50,4.25,10.30
72,1/2/26 3:47 PM,3,Edwin Tojin,0.00,55.00,4.53,13.75
71,1/2/26 3:47 PM,4,Madelaine Nguyen,0.00,61.00,5.03,5.00
73,1/2/26 3:49 PM,2,Edwin Tojin,0.00,62.25,5.15,15.56
74,1/2/26 3:57 PM,2,Madelaine Nguyen,0.00,13.00,1.07,2.60
75,1/2/26 4:15 PM,1,Default Online Ordering,0.00,29.00,2.39,0.00
77,1/2/26 4:41 PM,2,Khang Nguyen,0.00,55.50,4.57,11.10
76,1/2/26 4:39 PM,5,Madelaine Nguyen,0.00,73.00,6.02,14.60
81,1/2/26 4:59 PM,1,Default Online Ordering,0.00,22.50,1.86,0.00
78,1/2/26 4:54 PM,4,Madelaine Nguyen,13.00,76.00,6.26,17.80
79,1/2/26 4:54 PM,1,Khang Nguyen,0.00,28.00,2.31,3.00
80,1/2/26 4:58 PM,2,Khang Nguyen,0.00,51.50,4.24,12.88
82,1/2/26 5:17 PM,2,Khang Nguyen,141.00,0.00,0.00,0.00
83,1/2/26 5:27 PM,2,Anthony Le,0.00,59.50,4.91,14.88
84,1/2/26 5:47 PM,7,Chris Chau,15.00,153.50,12.66,33.70
85,1/2/26 5:50 PM,2,Felix Phan,0.00,81.50,6.72,16.30
86,1/2/26 5:53 PM,2,Chris Chau,0.00,53.50,4.41,11.77
87,1/2/26 5:56 PM,3,Felix Phan,0.00,53.49,4.40,13.37
89,1/2/26 6:03 PM,1,Default Online Ordering,0.00,28.00,2.31,0.00
88,1/2/26 5:57 PM,6,Anthony Le,0.00,117.00,9.65,23.40
91,1/2/26 6:04 PM,2,Felix Phan,0.00,52.00,4.28,10.40
92,1/2/26 6:10 PM,6,Felix Phan,0.00,113.73,9.38,26.18
93,1/2/26 6:11 PM,1,Default Online Ordering,0.00,60.50,4.99,0.00
90,1/2/26 6:03 PM,8,Anthony Le,0.00,147.50,12.18,21.73
94,1/2/26 6:11 PM,1,Tiffanie Nguyen,0.00,9.00,0.74,0.00
95,1/2/26 6:13 PM,1,Tiffanie Nguyen,0.00,24.00,1.98,0.00
96,1/2/26 6:15 PM,2,Anthony Le,0.00,51.00,4.20,10.20
97,1/2/26 6:19 PM,1,Tiffanie Nguyen,0.00,36.00,2.97,0.00
98,1/2/26 6:24 PM,2,Felix Phan,0.00,60.00,4.98,6.60
99,1/2/26 6:34 PM,3,Anthony Le,0.00,22.00,1.81,4.40
100,1/2/26 6:35 PM,4,Chris Chau,0.00,94.00,7.76,18.80
101,1/2/26 6:41 PM,3,Felix Phan,0.00,75.99,6.26,19.00
102,1/2/26 6:44 PM,4,Anthony Le,0.00,96.25,7.96,24.06
103,1/2/26 6:49 PM,2,Anthony Le,0.00,82.00,6.77,18.04
105,1/2/26 6:58 PM,2,Anthony Le,0.00,78.50,6.47,19.62
106,1/2/26 7:02 PM,2,Felix Phan,0.00,55.00,4.53,13.75
108,1/2/26 7:07 PM,10,Chris Chau,16.50,265.00,21.85,48.15
107,1/2/26 7:07 PM,4,Felix Phan,15.00,123.00,10.16,20.00
111,1/2/26 7:12 PM,6,Anthony Le,0.00,147.50,12.17,29.50
112,1/2/26 7:17 PM,2,Anthony Le,0.00,55.00,4.54,11.00
113,1/2/26 7:20 PM,2,Anthony Le,0.00,60.00,4.95,13.20
117,1/2/26 8:15 PM,1,Default Online Ordering,0.00,33.00,2.72,0.00
115,1/2/26 7:22 PM,4,Chris Chau,0.00,77.50,6.39,15.62
116,1/2/26 7:30 PM,2,Anthony Le,0.00,68.00,5.61,12.00
118,1/2/26 7:34 PM,4,Felix Phan,0.00,82.50,6.81,16.50
119,1/2/26 7:38 PM,2,Felix Phan,0.00,45.00,3.71,9.00
121,1/2/26 7:40 PM,3,Chris Chau,0.00,75.50,6.23,8.00
122,1/2/26 7:45 PM,2,Felix Phan,0.00,57.00,4.70,10.30
123,1/2/26 7:54 PM,8,Anthony Le,0.00,168.00,13.85,12.00
124,1/2/26 8:01 PM,2,Felix Phan,0.00,75.00,6.18,15.00
125,1/2/26 8:01 PM,2,Chris Chau,0.00,35.50,2.92,7.10
126,1/2/26 8:07 PM,2,Anthony Le,0.00,43.50,3.59,8.70
127,1/2/26 8:16 PM,4,Anthony Le,0.00,115.50,9.52,23.10
128,1/2/26 8:16 PM,3,Anthony Le,0.00,94.50,7.80,18.90
129,1/2/26 8:19 PM,2,Felix Phan,0.00,48.50,4.00,10.67
130,1/2/26 8:22 PM,2,Felix Phan,0.00,39.00,3.22,5.86
131,1/2/26 8:34 PM,2,Felix Phan,0.00,71.25,5.89,14.25
132,1/2/26 8:38 PM,1,Anthony Le,0.00,55.50,4.57,12.21
133,1/2/26 8:40 PM,2,Felix Phan,0.00,64.00,5.28,16.00
134,1/2/26 8:41 PM,5,Anthony Le,0.00,127.50,10.51,22.70
135,1/2/26 8:44 PM,2,Felix Phan,0.00,81.50,6.72,20.38
136,1/2/26 8:45 PM,2,Felix Phan,0.00,38.00,3.13,8.00
137,1/2/26 8:54 PM,2,Chris Chau,0.00,75.75,6.25,12.30
138,1/2/26 8:58 PM,2,Chris Chau,0.00,43.50,3.58,10.88
139,1/2/26 9:14 PM,3,Chris Chau,0.00,131.00,10.80,28.82
142,1/2/26 9:23 PM,2,Anthony Le,0.00,35.50,2.92,4.00
141,1/2/26 9:23 PM,1,Tiffanie Nguyen,0.00,9.50,0.78,0.00
144,1/2/26 9:24 PM,2,Chris Chau,5.50,57.00,4.69,13.75
143,1/2/26 9:24 PM,4,Anthony Le,0.00,95.99,7.92,21.12
145,1/2/26 9:30 PM,2,Felix Phan,0.00,79.75,6.58,15.00
146,1/2/26 9:32 PM,4,Felix Phan,0.00,73.50,6.05,14.50
147,1/2/26 9:43 PM,3,Chris Chau,0.00,117.49,9.69,29.37
148,1/2/26 9:50 PM,2,Felix Phan,0.00,50.00,4.13,0.00
1,1/3/26 10:45 AM,2,Helen Nguyen,0.00,87.75,7.25,17.55
2,1/3/26 11:06 AM,4,Madelaine Nguyen,0.00,90.75,7.49,18.15
3,1/3/26 11:10 AM,2,Helen Nguyen,0.00,26.00,2.14,4.00
4,1/3/26 11:16 AM,5,Hannah Khong,0.00,198.50,16.38,39.70
6,1/3/26 11:22 AM,6,Madelaine Nguyen,0.00,141.00,11.62,28.20
5,1/3/26 11:22 AM,6,Hannah Khong,0.00,125.75,10.38,25.15
7,1/3/26 11:24 AM,4,Helen Nguyen,0.00,69.50,5.73,10.00
8,1/3/26 11:32 AM,4,Madelaine Nguyen,0.00,75.00,6.19,10.81
10,1/3/26 11:36 AM,1,Default Online Ordering,0.00,84.50,6.97,0.00
9,1/3/26 11:33 AM,2,Helen Nguyen,0.00,33.50,2.76,6.70
11,1/3/26 11:39 AM,2,Hannah Khong,0.00,41.00,3.38,8.20
12,1/3/26 11:42 AM,8,Chris Chau,0.00,155.00,12.78,27.50
13,1/3/26 11:43 AM,2,Helen Nguyen,0.00,94.75,7.82,18.95
14,1/3/26 11:44 AM,2,Hannah Khong,0.00,79.50,6.55,10.00
15,1/3/26 11:48 AM,4,Helen Nguyen,0.00,85.50,7.05,17.26
16,1/3/26 11:56 AM,3,Chris Chau,0.00,55.00,4.54,11.00
17,1/3/26 12:00 PM,1,Hannah Khong,0.00,0.00,0.00,0.00
18,1/3/26 12:09 PM,1,Helen Nguyen,0.00,17.00,1.40,3.40
19,1/3/26 12:16 PM,2,Madelaine Nguyen,0.00,46.50,3.83,9.00
20,1/3/26 12:18 PM,2,Madelaine Nguyen,0.00,39.00,3.22,8.19
21,1/3/26 12:24 PM,2,Helen Nguyen,0.00,37.50,3.09,7.50
22,1/3/26 12:27 PM,5,Hannah Khong,0.00,69.00,5.69,10.60
23,1/3/26 12:37 PM,1,Default Online Ordering,0.00,20.00,1.64,0.00
25,1/3/26 12:49 PM,1,Default Online Ordering,5.00,16.50,1.36,0.00
24,1/3/26 12:45 PM,2,Hannah Khong,0.00,116.50,9.61,0.00
26,1/3/26 12:50 PM,3,Chris Chau,0.00,67.50,5.57,10.00
27,1/3/26 12:52 PM,2,Helen Nguyen,0.00,28.00,2.31,1.61
28,1/3/26 1:03 PM,3,Madelaine Nguyen,0.00,72.50,5.97,18.12
29,1/3/26 1:10 PM,4,Hannah Khong,0.00,72.00,5.93,15.84
30,1/3/26 1:12 PM,2,Helen Nguyen,0.00,39.00,3.22,9.75
31,1/3/26 1:13 PM,6,Madelaine Nguyen,0.00,114.49,9.43,22.90
32,1/3/26 1:15 PM,2,Helen Nguyen,0.00,49.00,4.03,9.80
33,1/3/26 1:19 PM,3,Helen Nguyen,16.50,59.50,4.91,15.20
35,1/3/26 1:21 PM,3,Madelaine Nguyen,0.00,59.00,4.87,11.80
34,1/3/26 1:21 PM,2,Chris Chau,27.00,73.50,6.06,20.10
36,1/3/26 1:25 PM,3,Hannah Khong,0.00,28.50,2.35,5.70
40,1/3/26 1:46 PM,1,Default Online Ordering,0.00,28.00,2.31,0.00
37,1/3/26 1:37 PM,4,Madelaine Nguyen,0.00,65.50,5.40,13.10
38,1/3/26 1:38 PM,4,Chris Chau,0.00,69.00,5.69,13.80
39,1/3/26 1:44 PM,2,Helen Nguyen,0.00,41.00,3.38,9.02
41,1/3/26 1:46 PM,2,Helen Nguyen,0.00,81.00,6.68,13.32
43,1/3/26 1:46 PM,2,Hannah Khong,0.00,116.50,9.61,0.00
42,1/3/26 1:46 PM,4,Chris Chau,0.00,88.00,7.25,15.00
44,1/3/26 1:50 PM,4,Chris Chau,0.00,67.99,5.60,12.00
45,1/3/26 1:52 PM,3,Madelaine Nguyen,0.00,65.50,5.40,12.00
46,1/3/26 1:56 PM,2,Hannah Khong,0.00,59.75,4.93,13.14
47,1/3/26 2:00 PM,4,Hannah Khong,0.00,66.50,5.48,13.30
48,1/3/26 2:04 PM,2,Helen Nguyen,0.00,72.00,5.94,14.40
49,1/3/26 2:06 PM,2,Chris Chau,0.00,55.25,4.57,11.05
50,1/3/26 2:07 PM,1,Madelaine Nguyen,9.50,12.00,0.99,4.30
51,1/3/26 2:10 PM,2,Helen Nguyen,0.00,45.50,3.75,5.00
52,1/3/26 2:13 PM,2,Madelaine Nguyen,0.00,35.50,2.93,7.81
53,1/3/26 2:18 PM,3,Madelaine Nguyen,0.00,73.75,6.09,10.00
54,1/3/26 2:24 PM,2,Helen Nguyen,0.00,50.00,4.13,12.50
56,1/3/26 2:30 PM,4,Chris Chau,0.00,55.25,4.57,10.00
57,1/3/26 2:37 PM,2,Madelaine Nguyen,0.00,90.50,7.49,18.10
58,1/3/26 2:42 PM,2,Chris Chau,0.00,50.50,4.16,11.11
60,1/3/26 2:45 PM,1,Tiffanie Nguyen,155.50,0.00,0.00,0.00
59,1/3/26 2:45 PM,1,Helen Nguyen,0.00,22.00,1.81,4.40
61,1/3/26 2:53 PM,6,Hannah Khong,0.00,147.50,12.16,5.90
62,1/3/26 3:07 PM,2,Madelaine Nguyen,0.00,35.50,2.93,7.10
63,1/3/26 3:12 PM,2,Hannah Khong,0.00,92.50,7.64,18.50
64,1/3/26 3:29 PM,2,Helen Nguyen,0.00,74.50,6.15,12.65
69,1/3/26 3:41 PM,2,Hannah Khong,0.00,73.50,6.06,16.17
70,1/3/26 4:00 PM,3,Madelaine Nguyen,0.00,83.50,6.90,16.70
72,1/3/26 4:12 PM,2,Hannah Khong,0.00,39.00,3.22,7.80
73,1/3/26 4:17 PM,2,Helen Nguyen,0.00,24.00,1.98,1.50
75,1/3/26 4:29 PM,1,Madelaine Nguyen,0.00,47.50,3.92,9.50
76,1/3/26 4:38 PM,3,Hannah Khong,0.00,69.25,5.71,13.85
77,1/3/26 4:46 PM,2,Madelaine Nguyen,14.00,51.75,4.28,11.00
78,1/3/26 4:54 PM,2,Hannah Khong,13.00,78.50,6.48,0.00
79,1/3/26 4:57 PM,2,Chris Chau,0.00,51.00,4.21,10.20
81,1/3/26 4:59 PM,2,Hannah Khong,0.00,56.50,4.66,11.30
80,1/3/26 4:59 PM,3,Thomas Cao,0.00,91.00,7.51,17.14
82,1/3/26 5:06 PM,3,Chris Chau,0.00,99.00,8.16,19.80
83,1/3/26 5:09 PM,5,Thomas Cao,0.00,251.50,20.76,55.33
84,1/3/26 5:15 PM,2,Khang Nguyen,0.00,58.00,4.78,11.60
85,1/3/26 5:18 PM,2,Chris Chau,12.00,28.00,2.31,10.00
86,1/3/26 5:25 PM,4,Thomas Cao,0.00,61.75,5.10,10.00
87,1/3/26 5:34 PM,1,Default Online Ordering,0.00,24.00,1.98,0.00
88,1/3/26 5:36 PM,2,Thomas Cao,0.00,39.00,3.23,9.75
